TICKER,MID_PRICE,MID_YIELD,DURATION_MID,CONVEXITY_MID,BID_ASK_SPREAD,AVG_DAILY_TRADE_COUNT_60,SPREAD_ROLLING_STD,VOLUME_ROLLING_STD,YIELD_SPREAD,MARKET_REGIME,vol_regime,liquidity_score,VOLUME_ROLLING_STD_LOG,MID_YIELD_WINS,MID_YIELD_CAPPED
EPRT,79.22610921132278,6.566885394990958,6.298455677910488,0.4597294629336347,0.3422583182640146,5.984755877034359,0.002648067518327438,9.650268311439657,-0.0006826930433634241,High Volatility,high,1.7259609632635347,0.09650268311439657,0.06566885394990958,0.06566885394990958
EQR,92.5840078961435,4.882054946645146,4.619154108215625,0.2698071231124161,0.09111600328930909,6.493508754990461,0.022536350614297655,49.69052832173843,-0.00020765371538317384,Normal,medium,1.8726816692274562,0.49690528321738425,0.048820549466451466,0.048820549466451466
ESS,101.15636117583503,5.342387393354142,7.287354100173978,0.6572931225649045,0.2609473190851146,5.512853893262842,0.00402902595227918,6.91668924898661,-0.0003492193341469308,Low Volatility,medium,1.5898677926796305,0.0691668924898661,0.053423873933541415,0.053423873933541415
EXR,99.09417505795889,5.215507051464666,4.594282722783929,0.2853054498009843,0.1440188706983963,12.038555496158404,0.07021343471512757,183.4814561807834,-0.0002980682216046957,Normal,medium,3.471833649921121,1.834814561807834,0.05215507051464666,0.05215507051464666
FTAI,99.9887873366378,6.36721764758356,4.3611225189085285,0.25071096097908885,0.2970575472820267,6.32921119525348,0.09291218138470506,35.49798314088319,-0.000656039132782156,Normal,medium,1.8252994233527913,0.35497983140883194,0.0636721764758356,0.0636721764758356
GMGAU,98.09375850880339,5.37469961387966,7.56480750499322,0.7019815835955933,0.23831728813559314,5.625694557555932,0.011128037070901703,27.366954474412246,-0.00031899352077960813,Normal,medium,1.6224102364551498,0.2736695447441225,0.0537469961387966,0.0537469961387966
HHH,97.40905591,6.1512039368999964,3.3003021324,0.13219912724,0.20133999999999896,6.0,0.0834524417037382,156.18465469582463,-0.00061831994999994,Normal,medium,1.7303572597371888,1.5618465469582463,0.06151203936899996,0.06151203936899996
HIW,102.9742773530799,6.1445876185376935,5.721015836101884,0.4363663716000137,0.3622426249658563,10.356307702816718,0.11049255178815251,134.51488176810972,-0.0005845263347527522,High Volatility,high,2.986685369606846,1.3451488176810973,0.06144587618537693,0.06144587618537693
HOUS,79.28566054145098,11.879120387220024,4.159333835268003,0.2183816619630154,0.9855028120843625,6.499834726710336,0.249513262843493,62.91752227253051,-0.003214929023353552,High Volatility,high,1.874506034409186,0.6291752227253051,0.11879120387220024,0.11879120387220024
HPP,82.9666215259472,9.28089241664202,3.7061485740495543,0.1714620853724005,0.5041784015438495,11.700668085749786,0.12023354853272386,174.73086643049444,-0.0016532118250376982,High Volatility,medium,3.3743893276587293,1.7473086643049445,0.0928089241664202,0.0928089241664202
HRI,99.03008802301756,6.03195859692305,2.9342033549553124,0.10771774582732786,0.15693787049703606,5.734130946955768,0.003419725826015268,5.215907882476928,-0.0005319757843159546,Normal,medium,1.6536825187247657,0.05215907882476928,0.060319585969230496,0.060319585969230496
